614,0.43746,60,10,8,0,4,0,0,0,0,1,0,0,0
524,0.48189,61,9,7,0,0,0,1,0,0,0,0,0,1
1040,0.55166,60,6,3,0,6,0,0,0,1,0,0,1,0
689,0.65663,35,10,7,0,1,0,0,0,0,0,1,1,0
560,0.69734,63,10,8,0,0,0,0,0,1,0,0,1,0
129,0.54102,71,10,13,0,8,0,0,0,0,1,0,0,0
420,0.69734,67,10,14,0,2,0,0,0,1,0,0,1,1
1270,0.46099,66,10,4,0,5,0,0,0,0,1,0,0,0
813,0.39991,81,10,15,0.22,8,2,0,0,1,0,0,1,0
374,0.36608,41,10,7,0,1,0,0,0,1,0,0,1,0
1734,0.36612,63,10,9,0.01,6,2,0,0,0,1,0,0,0
491,0.48189,93,5,4,0.66,7,3,0,0,0,0,1,1,0
1388,0.54102,78,10,9,0,2,0,0,0,0,1,0,1,1
546,0.44983,41,10,4,0,1,0,0,0,0,1,0,0,0
3562,0.54102,70,10,10,0,1,0,0,0,1,0,0,0,1
322,0.43559,72,10,9,0,5,0,0,0,0,0,1,0,0
428,0.36608,69,10,6,0,4,0,0,1,0,0,0,1,1
1273,0.43559,63,10,9,0,3,0,0,0,0,0,1,0,0
371,0.53191,48,10,2,0,3,0,0,0,0,1,0,1,0
3030,0.47375,70,10,14,0,5,0,0,1,0,0,0,0,0
236,0.47375,77,10,8,0,4,0,0,0,1,0,0,0,0
291,0.47853,85,8,12,0.25,8,2,0,0,1,0,0,1,0
622,0.46099,73,10,3,0,2,1,0,1,0,0,0,1,0
77299,0.71472,86,8,3,0.01,6,1,1,0,0,0,0,1,1
612,0.43746,68,10,9,0,4,0,0,1,0,0,0,0,0
458,0.37521,64,10,6,0,2,0,0,0,0,1,0,0,0
501,0.38202,63,10,12,0,5,0,0,0,1,0,0,1,0
572,0.48277,62,10,10,0,5,0,0,0,0,1,0,0,0
218,0.36608,57,10,4,0,0,0,0,1,0,0,0,0,0
186,0.40089,71,10,11,0,4,0,0,0,0,0,1,0,0
175,0.36222,64,10,6,0,2,0,0,0,0,0,1,0,1
405,0.79628,67,10,5,0,2,0,0,0,0,1,0,1,1
436,0.65663,40,10,5,0,0,0,0,0,0,0,1,0,0
494,0.43617,83,8,3,0,4,0,0,0,0,1,0,1,0
366,0.65663,80,8,8,0.32,8,2,0,0,0,0,1,0,0
579,0.55166,67,10,7,0,4,0,0,0,0,0,1,1,0
512,0.79628,65,9,6,0,4,0,0,0,0,0,1,0,0
520,0.48277,68,10,13,0,4,0,0,0,0,1,0,0,0
554,0.39991,69,10,13,0,5,0,0,0,1,0,0,0,0
944,0.40089,71,10,11,0,6,0,0,0,0,1,0,0,1
1273,0.44983,81,5,4,0.01,3,1,0,1,0,0,0,0,0
1108,0.55839,72,10,5,0,4,0,0,0,1,0,0,0,0
405,0.43746,64,10,9,0,2,0,0,0,0,0,1,0,0
508,0.44983,69,10,5,0,5,0,0,1,0,0,0,1,0
1053,0.55839,71,9,9,0,0,0,0,1,0,0,0,0,0
184,0.54102,63,10,9,0,2,0,0,0,0,0,1,0,1
421,0.71472,73,10,6,0,6,0,0,0,1,0,0,1,0
244,0.47375,71,10,10,0.05,6,0,0,0,1,0,0,1,0
629,0.36612,74,10,6,0,5,0,0,0,0,0,1,0,0
646,0.38202,70,10,4,0,0,0,0,1,0,0,0,1,1
602,0.53191,68,10,13,0,4,0,0,0,1,0,0,0,0
320,0.55117,72,10,5,0,3,0,0,1,0,0,0,1,1
791,0.43738,60,10,7,0,1,0,0,0,0,0,1,0,1
501,0.69734,56,8,5,0,3,0,0,0,0,1,0,0,1
1475,0.46099,78,7,3,0,3,0,0,1,0,0,0,1,0
826,0.65663,67,10,9,0,2,0,0,1,0,0,0,0,0
373,0.7246,70,10,13,0,6,0,0,0,0,0,1,1,0
543,0.43617,71,10,5,0,2,0,0,1,0,0,0,1,0
1827,0.48189,60,10,10,0,1,0,0,0,0,1,0,0,0
677,0.7246,75,10,6,0,7,0,0,0,0,0,1,1,0
475,0.79628,73,10,8,0,5,0,0,0,0,1,0,0,0
541,0.46099,70,10,3,0,1,0,0,0,0,1,0,1,0
287,0.44983,77,10,12,0,6,0,0,0,1,0,0,0,0
2423,0.40089,73,10,10,0,3,0,1,0,0,0,0,0,1
1475,0.51441,57,10,9,0,0,0,0,0,0,0,1,0,0
2485,0.48189,72,10,13,0,5,0,0,0,0,0,1,0,1
829,0.48189,76,8,13,0.57,6,2,0,1,0,0,0,1,0
498,0.35379,75,9,8,0.15,5,2,0,0,1,0,0,1,0
201,0.36608,79,10,9,0,6,0,0,0,0,1,0,0,1
1015,0.67032,71,10,6,0,4,0,0,0,0,1,0,0,1
608,0.47375,68,10,8,0.01,3,0,0,0,1,0,0,1,1
505,0.43738,62,10,5,0,6,0,0,1,0,0,0,0,1
7048,0.46099,86,7,12,1.43,7,2,0,0,0,1,0,0,0
317,0.54102,73,10,11,0,6,0,0,0,1,0,0,0,1
1467,0.55166,69,10,11,0,4,0,0,0,0,1,0,0,1
512,0.47853,78,10,9,0,7,0,0,0,0,0,1,1,1
570,0.71472,72,8,15,0.52,6,2,0,0,1,0,0,1,0
438,0.38202,71,10,9,0,2,0,0,0,1,0,0,0,0
1838,0.48277,71,10,5,0,2,0,0,0,0,0,1,1,0
567,0.46099,64,9,8,0,2,0,0,1,0,0,0,0,0
393,0.37521,86,7,7,0.2,7,2,0,1,0,0,0,0,0
308,0.48277,46,10,5,0,0,0,0,0,0,0,1,1,0
405,0.7246,72,10,9,0,5,0,0,0,0,0,1,0,0
233,0.48277,68,10,11,0,4,0,0,0,0,1,0,0,0
432,0.47853,72,10,11,0,8,0,0,0,0,1,0,0,1
562,0.65663,83,8,3,0,4,0,0,0,0,0,1,1,0
193,0.54976,86,10,3,0,4,0,0,0,1,0,0,1,1
424,0.43738,75,10,12,0,6,0,0,1,0,0,0,1,0
634,0.38202,75,10,4,0,1,0,0,1,0,0,0,1,1
237,0.36222,64,10,5,0,1,0,0,0,1,0,0,1,0
464,0.55839,67,10,7,0,1,0,0,1,0,0,0,1,0
657,0.43746,61,10,4,0,1,1,0,0,1,0,0,1,1
426,0.35379,73,10,8,0,4,0,0,0,1,0,0,0,1
1911,0.71472,67,10,9,0,1,1,0,0,1,0,0,0,1
360,0.67032,76,9,6,0,3,0,0,0,0,1,0,1,0
632,0.44983,60,10,10,0,1,0,0,0,0,0,1,0,0
227,0.40089,52,10,6,0,2,0,0,0,0,1,0,1,0
269,0.54102,55,10,6,0,1,0,1,0,0,0,0,0,0
574,0.55839,73,9,5,0,1,0,0,0,0,0,1,0,0
333,0.47375,69,10,8,0,3,0,0,0,1,0,0,0,1
864,0.43738,46,10,4,0,1,0,0,1,0,0,0,0,1
704,0.36608,64,10,16,0,1,0,0,0,0,1,0,0,0
391,0.54102,74,10,7,0,4,0,0,1,0,0,0,0,0
1637,0.55166,38,10,9,0,0,0,0,0,0,0,1,0,0
