station_distance,mean_humidity,mean_visibility_miles,mean_wind_speed_mph,precipitation_inches,cloud_cover,events,day_week,start_time,mean_temperature_f,duration
0.55839,69,10,19,0.08,5,2,Fri,22.05,58,413
0.55839,76,8,2,0,6,0,Thu,15.16666667,52,420
0.43559,61,10,3,0,2,0,Wed,16.31666667,60,482
0.36612,47,10,6,0,3,0,Thu,14.61666667,70,484
0.36612,60,10,3,0,1,0,Wed,10.03333333,48,325
0.38632,70,10,12,0,6,0,Fri,12.73333333,59,432
0.39547,69,7,10,0,1,0,Mon,21.43333333,70,335
0.55166,48,10,2,0,3,0,Tue,10.1,56,614
0.39991,56,10,9,0,3,0,Wed,13.68333333,56,589
0.55166,72,10,19,0,4,0,Wed,18.46666667,68,840
0.71472,45,10,6,0,2,0,Thu,16.01666667,71,517
0.55166,60,10,7,0,1,0,Tue,8.183333333,60,532
0.55839,80,10,9,0,4,0,Thu,9.416666667,62,712
0.39547,74,10,9,0,4,0,Thu,15.83333333,68,400
0.54976,64,10,16,0,1,0,Tue,18.41666667,62,663
0.55839,73,9,8,0,5,0,Mon,17.31666667,59,314
0.40203,66,10,9,0,4,0,Mon,16.8,69,903
0.39547,87,8,5,0,3,1,Fri,17.15,54,520
0.37521,74,9,11,0,3,0,Thu,16.73333333,60,442
0.39991,73,9,5,0,1,0,Wed,9.366666667,64,401
0.54976,67,10,9,0,2,0,Wed,17.3,67,810
0.79628,65,10,16,0,5,0,Mon,9.733333333,62,651
0.38202,48,10,13,0,1,0,Tue,15.73333333,57,828
0.7246,52,10,12,0,2,0,Thu,13.46666667,53,1180
0.48277,52,10,6,0,2,0,Wed,11.66666667,59,696
0.53191,65,9,2,0,5,0,Tue,6.8,55,856
0.39547,76,10,11,0,6,0,Thu,13.68333333,67,673
0.43746,78,10,3,0,2,0,Sat,14.55,55,682
0.451,75,9,6,0,4,0,Fri,13.11666667,54,1853
0.71472,71,10,9,0.02,5,2,Thu,19.16666667,59,828
0.47375,66,9,3,0,1,0,Fri,11.23333333,52,837
0.44983,71,9,9,0,0,0,Fri,20.23333333,65,870
0.65663,69,9,10,0,4,0,Tue,17.3,67,1468
